plot_id,rct_tile_best,rct_tree_id_best,rct_dbh_best,cstart,suitability
p10,0_1,138,0.119,,
p10,0_1,214,0.113,,
p10,0_1,212,0.111,,
p10,0_1,97,0.108,,
p10,0_1,286,0.106,,
p10,0_1,178,0.105,,
p10,0_1,228,0.696,4,good
p10,0_1,700,0.67,4,good
p10,0_1,258,0.625,3,good
p10,0_1,730,0.619,5,good
p10,0_1,217,0.531,7,good
p10,0_1,248,0.486,5.5,good
p10,0_1,276,0.349,2.5,good
p10,0_1,237,0.221,,
p10,0_1,708,0.15,4.5,good
p10,0_1,238,0.122,1,good
p10,0_1,179,0.1,2.5,good
p10,0_1,544,0.093,,
p10,0_1,544,0.093,,
p10,0_1,235,0.089,,
p10,0_1,636,0.085,,
p10,0_1,636,0.085,,
p10,0_1,636,0.085,,
p10,0_1,119,0.074,,
p10,0_1,119,0.074,,
p10,0_1,119,0.074,,
p10,0_1,119,0.074,,
p10,0_1,233,0.07,,
p10,0_1,233,0.07,,
p10,0_1,126,0.066,,
p10,0_1,281,0.065,,
p10,0_1,205,0.061,,
p10,0_1,223,0.06,,
p10,0_1,223,0.06,,
p10,0_1,546,0.04,,
p10,0_1,546,0.04,,
p10,0_1,546,0.04,,
p10,0_2,122,0.162,,
p10,0_2,97,0.157,,
p10,0_2,432,0.141,,
p10,0_2,73,0.213,,
p10,0_2,157,0.164,,
p10,0_2,97,0.157,,
p10,0_2,432,0.141,,
p10,0_2,666,0.133,,
p10,0_2,52,0.127,,
p10,0_2,155,0.291,5.5,good
p10,0_2,584,0.274,5,good
p10,0_2,221,0.273,4.5,good
p10,0_2,585,0.262,4,good
p10,0_2,244,0.226,,
p10,0_2,244,0.226,5.5,good
p10,0_2,122,0.162,3.9,good
p10,0_2,121,0.126,,
p10,0_2,121,0.126,,
p10,0_2,177,0.123,,
p10,0_2,177,0.123,,
p10,0_2,177,0.123,,
p10,0_2,50,0.118,,
p10,0_2,262,0.118,,
p10,0_2,231,0.113,,
p10,0_2,225,0.106,,
p10,0_2,196,0.102,,
p10,0_2,681,0.094,,
p10,0_2,681,0.094,,
p10,0_2,681,0.094,,
p10,0_2,681,0.094,,
p10,0_2,136,0.093,,
p10,0_2,136,0.093,,
p10,0_2,136,0.093,,
p10,0_2,75,0.091,,
p10,0_2,192,0.089,,
p10,0_2,36,0.086,,
p10,0_2,36,0.086,,
p10,0_2,37,0.077,,
