plot_id,census_tree_id,census_stem_id,census_species,census_x_rot_m,census_y_rot_m,census_dbh_m,t2t_matches,t2t_tree_id,rct_matches,rct_tile,rct_tree_id,t2t_tree_id_best,t2t_dbh_best,rct_tile_best,rct_tree_id_best,rct_dbh_best,,cstart,suitability
p02,104,104,Strychnos spinosa,15.98512291,76.06135061,0.06,0,[],1,['Tile_0_2'],[1178],,,0_2,1178,0.06,,,
p02,41,41,Combretum collinum,15.90209943,96.65851321,0.062,0,[],1,['Tile_0_2'],[1208],,,0_2,1208,0.09,,,
p02,98,98,Diplorhynchus condylocarpon,15.09340769,91.56061975,0.08,0,[],1,['Tile_0_2'],[1208],,,0_2,1208,0.09,,,
p02,378,378,Combretum zeyheri,15.95774955,93.49995292,0.06,0,[],1,['Tile_0_2'],[1208],,,0_2,1208,0.09,,,
p02,39,39,Julbernardia paniculata,21.22272143,97.67368879,0.331,3,"['0136_T0', '0137_T0', '0137_T1']",2,"['Tile_0_2', 'Tile_0_2']","[389, 1216]",0137_T1,0.325,0_2,1216,0.277,,5.3,good
p02,35,35,Combretum collinum,21.20743744,105.6570569,0.062,0,[],4,"['Tile_0_2', 'Tile_0_2', 'Tile_0_2', 'Tile_1_2']","[378, 383, 1227, 9]",,,0_2,1227,0.034,,,
p02,37,37,Terminalia brachystemma,22.4519814,103.7169511,0.061,0,[],2,"['Tile_0_2', 'Tile_0_2']","[378, 1227]",,,0_2,1227,0.034,,,
p02,407,407,Combretum collinum,23.46954783,107.5112836,0.051,0,[],2,"['Tile_0_2', 'Tile_0_2']","[408, 1227]",,,0_2,1227,0.034,,,
p02,2,2,Burkea africana,-1.477782961,133.9523423,0.434,0,[],1,['Tile_0_3'],[91],,,0_3,91,0.381,,5.5,good
p02,3,3,Terminalia brachystemma,-0.359951301,131.8546168,0.07,0,[],2,"['Tile_0_3', 'Tile_0_3']","[94, 108]",,,0_3,94,0.091,,,
p02,1,1,Terminalia brachystemma,1.457409372,136.5222929,0.081,0,[],1,['Tile_0_3'],[94],,,0_3,94,0.091,,,
p02,8,8,Combretum zeyheri,3.170422586,128.1727069,0.075,0,[],3,"['Tile_0_3', 'Tile_0_3', 'Tile_0_3']","[94, 98, 108]",,,0_3,108,0.09,,,
p02,9,9,Combretum collinum,4.505499277,133.5110559,0.085,0,[],1,['Tile_0_3'],[108],,,0_3,108,0.09,,,
p02,11,11,Burkea africana,7.568570476,127.3853727,0.33,3,"['0174_T3', '0174_T4', '0175_T0']",1,['Tile_0_3'],[125],0174_T3,0.185,0_3,125,0.249,,7.5,good
p02,356,454,Combretum collinum,10.37584204,126.1106859,0.05,0,[],3,"['Tile_0_2', 'Tile_0_2', 'Tile_0_3']","[333, 358, 131]",,,0_3,131,0.06,,,
p02,405,405,Combretum zeyheri,9.544328632,126.0241675,0.054,0,[],3,"['Tile_0_2', 'Tile_0_2', 'Tile_0_3']","[333, 358, 131]",,,0_3,131,0.06,,,
p02,170,170,Combretum collinum,24.18537797,38.3974645,0.092,1,['0050_T0'],4,"['Tile_0_1', 'Tile_0_1', 'Tile_1_1', 'Tile_1_1']","[234, 245, 10, 26]",0050_T0,0.078,1_1,10,0.117,,,
p02,438,438,Combretum collinum,24.15541538,44.62635704,0.052,0,[],3,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[13, 387, 396]",,,1_1,13,0.044,,,
p02,109,109,Terminalia brachystemma,26.37527545,60.0699551,0.065,0,[],4,"['Tile_0_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[588, 15, 33, 413]",,,1_1,15,0.046,,,
p02,442,442,Terminalia brachystemma,25.88284639,55.44043962,0.052,0,[],4,"['Tile_0_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[588, 15, 397, 413]",,,1_1,15,0.046,,,
p02,168,169,Philenoptera nelsii,26.03550702,41.25919867,0.076,1,['0050_T0'],5,"['Tile_0_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[245, 26, 27, 49, 396]",0050_T0,0.078,1_1,26,0.086,,,
p02,165,165,Combretum collinum,28.40945275,39.4218142,0.061,1,['0050_T0'],2,"['Tile_1_1', 'Tile_1_1']","[26, 27]",0050_T0,0.078,1_1,26,0.086,,,
p02,162,162,Burkea africana,30.91170809,38.47798255,0.42,1,['0037_T0'],1,['Tile_1_1'],[37],0037_T0,0.227,1_1,37,0.306,,7.5,good
p02,167,167,Combretum collinum,31.35690674,36.37220522,0.07,1,['0050_T0'],3,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[47, 74, 406]",,,1_1,47,0.095,,,
p02,417,417,Terminalia brachystemma,33.64779499,49.73230742,0.05,0,[],4,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[66, 89, 396, 487]",,,1_1,66,0.044,,,
p02,388,388,Combretum collinum,32.30769953,64.99502816,0.072,0,[],4,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[73, 93, 493, 498]",,,1_1,73,0.095,,,
p02,158,158,Combretum collinum,34.0485611,38.17359268,0.069,0,[],4,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[47, 49, 74, 78]",,,1_1,74,0.092,,,
p02,160,160,Combretum collinum,32.75536171,36.47814722,0.09,1,['0050_T0'],3,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[47, 74, 406]",,,1_1,74,0.092,,,
p02,157,157,Combretum collinum,34.84073942,41.29770112,0.073,0,[],6,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[47, 49, 74, 78, 89, 487]",,,1_1,78,0.094,,,
p02,420,420,Terminalia brachystemma,34.17154133,57.39654188,0.052,1,['0066_T0'],2,"['Tile_1_1', 'Tile_1_1']","[88, 413]",0066_T0,0.062,1_1,88,0.078,,,
p02,111,111,Terminalia brachystemma,36.83165395,55.80937432,0.057,1,['0066_T0'],1,['Tile_1_1'],[88],0066_T0,0.062,1_1,88,0.078,,,
p02,110,110,Combretum collinum,33.15341374,52.71761933,0.073,0,[],5,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[87, 90, 387, 413, 504]",,,1_1,90,0.098,,,
p02,112,112,Combretum collinum,39.13414865,53.60689432,0.116,0,[],5,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[87, 90, 99, 137, 504]",,,1_1,99,0.13,,2.5,good
p02,122,122,Philenoptera nelsii,41.17259865,46.82223356,0.113,0,[],1,['Tile_1_1'],[118],,,1_1,118,0.169,,,
